	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
653190	6.711607785	6.574187813	4.210731729	0	5.875438513	5.995568184	1.666620268	4.66075752
730013	6.462997877	5.253342631	5.012537388	0	7.046390651	5.588048969	3.165735108	6.048665599
368	7.934523578	7.922630188	6.249263286	3.14706243	9.490408877	7.86279665	6.041737991	7.882339807
6833	0.559736524	2.456753591	0	0.726744042	0	3.317882883	0	0.691623493
10060	5.957619809	9.153732896	8.026948857	5.07655482	8.357031573	6.479364773	10.17824879	7.706586497
215	9.005284606	11.04886214	9.955305683	9.335514743	8.248998696	9.962909449	9.158601105	11.6119858
225	2.396734918	4.080521232	3.223607895	3.520811944	2.965322548	1.319213275	6.506011573	2.708297614
5825	10.66534507	10.32259496	9.999472136	9.452057107	10.7923034	10.06763536	10.33017249	9.752698255
5826	9.185213172	9.068559036	8.627667022	9.450707523	8.448682532	8.965972977	8.355648856	8.976725066
6059	10.3942124	10.37497294	10.18870406	9.603044514	10.03828472	10.48309062	10.92568995	10.33538723
23	11.78835733	10.46437901	10.49044749	10.93451879	11.19652719	10.99082634	10.77000103	11.04135662
10061	10.01383615	9.880551919	10.42061009	10.55642137	10.28202968	10.18532704	10.16964858	9.551597917
55324	10.0670803	9.327850583	10.54220677	10.66863604	10.07805511	9.852901332	9.106430246	10.04624316
9619	7.374652633	9.644187431	9.180637964	7.968717474	10.51684024	8.688560849	9.800742198	8.719008844
9429	5.611024797	8.221833591	3.883904245	2.301382787	5.412005784	5.806151316	4.552862725	5.622980118
64137	2.260658014	4.275550936	2.939771953	1.567837462	2.751635103	2.125816387	1.491750501	3.5562332
64240	1.276198865	2.456753591	2.773743199	1.207767938	2.196669988	4.271858898	1.292663973	1.656587895
64241	0.961993677	0.861002514	2.682955269	0	0.779721981	5.001261806	0	0
55347	9.572344198	9.613695553	8.710433833	9.227758642	9.39378642	9.395584259	9.205412064	9.022659374
83451	10.23480007	10.11843786	8.933565262	9.711821816	9.46502514	10.10337358	9.083480657	9.456289518
145447	4.48094365	0.861002514	0	0	0.441908364	0.45817199	0	0.943058639
26090	10.10917156	9.823854585	10.19949003	10.99456042	10.6301497	11.55427951	10.62820173	10.74153322
84945	10.06516649	9.071845511	9.055050284	8.990192197	9.477410197	9.960204996	9.801914282	9.48195479
25864	8.886044042	7.907895924	8.172316489	8.902093784	7.931499872	7.186588703	7.635883508	8.681679763
84836	11.34166164	11.09239312	10.75038375	10.95798147	10.97783128	10.74903138	9.721200208	11.0379845
116236	8.609681839	8.368016604	7.868626273	8.816669459	10.02593836	8.648802636	7.895074758	9.210364267
84696	3.735987837	2.656748048	0.502941568	1.207767938	0	1.085084679	0	1.913684096
11057	9.685462604	12.5493181	12.4436701	12.2981667	12.60651716	13.16211334	12.39332621	12.5884605
171586	10.93425508	9.101091405	9.387033764	8.946815354	9.71251462	9.05180602	8.965009061	9.742375632
63874	10.49574163	9.795642123	10.39268524	10.10999476	9.472323266	9.488609802	10.09654993	10.26393722
51099	9.670435314	9.096795785	9.230570261	8.739193626	7.962243031	7.885781773	9.585539088	8.754369442
57406	7.563631018	7.049070918	8.297500506	7.601319899	7.162833385	7.283240256	7.571365851	8.399776933
